TimeStep,Precip_mm,Precip_m
08/04/2007 13,0,0
08/04/2007 14,0,0
08/04/2007 15,0,0
08/04/2007 16,0,0
08/04/2007 17,0,0
08/04/2007 18,0,0
08/04/2007 19,0,0
08/04/2007 20,0,0
08/04/2007 21,0,0
08/04/2007 22,0,0
08/04/2007 23,0,0
08/05/2007 00,0,0
08/05/2007 01,0,0
08/05/2007 02,0,0
08/05/2007 03,0,0
08/05/2007 04,0,0
08/05/2007 05,0,0
08/05/2007 06,0,0
08/05/2007 07,0,0
08/05/2007 08,0,0
08/05/2007 09,0,0
08/05/2007 10,0,0
08/05/2007 11,0,0
08/05/2007 12,0,0
08/05/2007 13,0,0
08/05/2007 14,0,0
08/05/2007 15,0,0
08/05/2007 16,0,0
08/05/2007 17,0,0
08/05/2007 18,0.3,0.0003
08/05/2007 19,0.3,0.0003
08/05/2007 20,0.5,0.0005
08/05/2007 21,0,0
08/05/2007 22,0,0
08/05/2007 23,0,0
08/06/2007 00,0,0
08/06/2007 01,0,0
08/06/2007 02,0,0
08/06/2007 03,0,0
08/06/2007 04,0,0
08/06/2007 05,0.2,0.0002
08/06/2007 06,0,0
08/06/2007 07,0,0
08/06/2007 08,0,0
08/06/2007 09,0,0
08/06/2007 10,0,0
08/06/2007 11,0,0
08/06/2007 12,0,0
08/06/2007 13,0,0
08/06/2007 14,0,0
08/06/2007 15,0,0
08/06/2007 16,0,0
08/06/2007 17,0,0
08/06/2007 18,0,0
08/06/2007 19,0,0
08/06/2007 20,0,0
08/06/2007 21,0,0
08/06/2007 22,0,0
08/06/2007 23,0,0
08/07/2007 00,0,0
08/07/2007 01,0,0
08/07/2007 02,0,0
08/07/2007 03,0,0
08/07/2007 04,0,0
08/07/2007 05,0,0
08/07/2007 06,0,0
08/07/2007 07,0,0
08/07/2007 08,0,0
08/07/2007 09,0,0
08/07/2007 10,0,0
08/07/2007 11,0,0
08/07/2007 12,0,0
08/07/2007 13,0,0
08/07/2007 14,0,0
08/07/2007 15,0,0
08/07/2007 16,0.2,0.0002
08/07/2007 17,0,0
08/07/2007 18,0,0
08/07/2007 19,0,0
08/07/2007 20,0,0
08/07/2007 21,0,0
08/07/2007 22,0,0
08/07/2007 23,0,0
08/08/2007 00,0,0
08/08/2007 01,0,0
08/08/2007 02,0.1,0.0001
08/08/2007 03,4.9,0.0049
08/08/2007 04,3.6,0.0036
08/08/2007 05,0,0
08/08/2007 06,4.6,0.0046
08/08/2007 07,0.1,0.0001
08/08/2007 08,0,0
08/08/2007 09,0,0
08/08/2007 10,0,0
08/08/2007 11,0,0
08/08/2007 12,0,0
08/08/2007 13,0,0
08/08/2007 14,0,0
08/08/2007 15,0,0
08/08/2007 16,0,0
08/08/2007 17,0,0
08/08/2007 18,0,0
08/08/2007 19,0,0
08/08/2007 20,0,0
08/08/2007 21,0,0
08/08/2007 22,0,0
08/08/2007 23,0,0
08/09/2007 00,0,0
08/09/2007 01,0,0
08/09/2007 02,0,0
08/09/2007 03,0,0
08/09/2007 04,0,0
08/09/2007 05,0,0
08/09/2007 06,0,0
08/09/2007 07,0,0
08/09/2007 08,0,0
08/09/2007 09,0,0
08/09/2007 10,0,0
08/09/2007 11,12.2,0.0122
08/09/2007 12,3.2,0.0032
08/09/2007 13,1.7,0.0017
08/09/2007 14,0,0
08/09/2007 15,0,0
08/09/2007 16,0,0
08/09/2007 17,1.7,0.0017
08/09/2007 18,0.2,0.0002
08/09/2007 19,0.9,0.0009
08/09/2007 20,0.8,0.0008
08/09/2007 21,0,0
08/09/2007 22,0,0
08/09/2007 23,0,0
08/10/2007 00,0,0
08/10/2007 01,0,0
08/10/2007 02,0,0
08/10/2007 03,0,0
08/10/2007 04,0,0
08/10/2007 05,0,0
08/10/2007 06,0,0
08/10/2007 07,0,0
08/10/2007 08,0,0
08/10/2007 09,0,0
08/10/2007 10,0,0
08/10/2007 11,0,0
08/10/2007 12,0,0
08/10/2007 13,0,0
08/10/2007 14,0,0
08/10/2007 15,0,0
08/10/2007 16,0,0
08/10/2007 17,0,0
08/10/2007 18,0,0
08/10/2007 19,0,0
08/10/2007 20,0,0
08/10/2007 21,0,0
08/10/2007 22,0,0
08/10/2007 23,0,0
08/11/2007 00,0,0
08/11/2007 01,0,0
08/11/2007 02,0,0
08/11/2007 03,0,0
08/11/2007 04,0,0
08/11/2007 05,0,0
08/11/2007 06,0,0
08/11/2007 07,0,0
08/11/2007 08,0,0
08/11/2007 09,0,0
08/11/2007 10,0,0
08/11/2007 11,0,0
08/11/2007 12,0,0
08/11/2007 13,0,0
08/11/2007 14,0,0
08/11/2007 15,0,0
08/11/2007 16,0,0
08/11/2007 17,0,0
08/11/2007 18,0,0
08/11/2007 19,0,0
08/11/2007 20,0,0
08/11/2007 21,0,0
08/11/2007 22,0,0
08/11/2007 23,0,0
08/12/2007 00,0,0
08/12/2007 01,0,0
08/12/2007 02,0,0
08/12/2007 03,0,0
08/12/2007 04,0,0
08/12/2007 05,0,0
08/12/2007 06,0,0
08/12/2007 07,0,0
08/12/2007 08,0,0
08/12/2007 09,0,0
08/12/2007 10,0,0
08/12/2007 11,0,0
08/12/2007 12,0,0
08/12/2007 13,0,0
08/12/2007 14,0,0
08/12/2007 15,0,0
08/12/2007 16,0,0
08/12/2007 17,0,0
08/12/2007 18,0,0
08/12/2007 19,0,0
08/12/2007 20,0,0
08/12/2007 21,0,0
08/12/2007 22,0,0
08/12/2007 23,0,0
08/13/2007 00,0,0
08/13/2007 01,0,0
08/13/2007 02,0,0
08/13/2007 03,0,0
08/13/2007 04,0,0
08/13/2007 05,0,0
08/13/2007 06,0,0
08/13/2007 07,0,0
08/13/2007 08,0,0
08/13/2007 09,0,0
08/13/2007 10,0,0
08/13/2007 11,0,0
08/13/2007 12,0,0
08/13/2007 13,0,0
08/13/2007 14,0,0
08/13/2007 15,0,0
08/13/2007 16,0,0
08/13/2007 17,0,0
08/13/2007 18,0,0
08/13/2007 19,0,0
08/13/2007 20,0,0
08/13/2007 21,0,0
08/13/2007 22,0,0
08/13/2007 23,0,0
08/14/2007 00,0,0
08/14/2007 01,0,0
08/14/2007 02,0,0
08/14/2007 03,0,0
08/14/2007 04,0,0
08/14/2007 05,0,0
08/14/2007 06,0,0
08/14/2007 07,0,0
08/14/2007 08,0,0
08/14/2007 09,0,0
08/14/2007 10,0,0
08/14/2007 11,0,0
08/14/2007 12,0,0
08/14/2007 13,0,0
08/14/2007 14,0,0
08/14/2007 15,0,0
08/14/2007 16,0,0
08/14/2007 17,0,0
08/14/2007 18,0,0
08/14/2007 19,0,0
08/14/2007 20,0,0
08/14/2007 21,0,0
08/14/2007 22,0,0
08/14/2007 23,0,0
08/15/2007 00,0,0
08/15/2007 01,0,0
08/15/2007 02,0,0
08/15/2007 03,0,0
08/15/2007 04,0,0
08/15/2007 05,0,0
08/15/2007 06,0,0
08/15/2007 07,0,0
08/15/2007 08,0,0
08/15/2007 09,0,0
08/15/2007 10,0,0
08/15/2007 11,0,0
08/15/2007 12,0,0
08/15/2007 13,0,0
08/15/2007 14,0,0
08/15/2007 15,0,0
08/15/2007 16,0,0
08/15/2007 17,0,0
08/15/2007 18,0,0
08/15/2007 19,0,0
08/15/2007 20,0,0
08/15/2007 21,0,0
08/15/2007 22,0,0
08/15/2007 23,0,0
08/16/2007 00,0,0
08/16/2007 01,0,0
08/16/2007 02,0,0
08/16/2007 03,0.1,0.0001
08/16/2007 04,0.1,0.0001
08/16/2007 05,0,0
08/16/2007 06,0.1,0.0001
08/16/2007 07,1.8,0.0018
08/16/2007 08,0.9,0.0009
08/16/2007 09,0.1,0.0001
08/16/2007 10,0,0
08/16/2007 11,0,0
08/16/2007 12,0,0
08/16/2007 13,0,0
08/16/2007 14,0,0
08/16/2007 15,0,0
08/16/2007 16,0,0
08/16/2007 17,0,0
08/16/2007 18,0,0
08/16/2007 19,0,0
08/16/2007 20,0,0
08/16/2007 21,0,0
08/16/2007 22,0,0
08/16/2007 23,0,0
08/17/2007 00,0,0
08/17/2007 01,0,0
08/17/2007 02,0,0
08/17/2007 03,0,0
08/17/2007 04,0,0
08/17/2007 05,0,0
08/17/2007 06,0,0
08/17/2007 07,0,0
08/17/2007 08,0,0
08/17/2007 09,0,0
08/17/2007 10,0,0
08/17/2007 11,0,0
08/17/2007 12,0,0
08/17/2007 13,0,0
08/17/2007 14,0,0
08/17/2007 15,0,0
08/17/2007 16,0,0
08/17/2007 17,0,0
08/17/2007 18,0,0
08/17/2007 19,0,0
08/17/2007 20,0,0
08/17/2007 21,0,0
08/17/2007 22,0,0
08/17/2007 23,0,0
08/18/2007 00,0,0
08/18/2007 01,0,0
08/18/2007 02,0,0
08/18/2007 03,0,0
08/18/2007 04,0,0
08/18/2007 05,0,0
08/18/2007 06,0,0
08/18/2007 07,0,0
08/18/2007 08,0,0
08/18/2007 09,0,0
08/18/2007 10,0,0
08/18/2007 11,0,0
08/18/2007 12,0,0
08/18/2007 13,0,0
08/18/2007 14,0,0
08/18/2007 15,0,0
08/18/2007 16,0,0
08/18/2007 17,0,0
08/18/2007 18,0,0
08/18/2007 19,0,0
08/18/2007 20,0,0
08/18/2007 21,0,0
08/18/2007 22,0,0
08/18/2007 23,0,0
08/19/2007 00,0,0
08/19/2007 01,0,0
08/19/2007 02,0,0
08/19/2007 03,0,0
08/19/2007 04,0,0
08/19/2007 05,0,0
08/19/2007 06,0,0
08/19/2007 07,0,0
08/19/2007 08,0,0
08/19/2007 09,0,0
08/19/2007 10,0,0
08/19/2007 11,0,0
08/19/2007 12,0.3,0.0003
08/19/2007 13,0.3,0.0003
08/19/2007 14,1.3,0.0013
08/19/2007 15,0.4,0.0004
08/19/2007 16,0,0
08/19/2007 17,1,0.001
08/19/2007 18,1.3,0.0013
08/19/2007 19,1.8,0.0018
08/19/2007 20,0.7,0.0007
08/19/2007 21,0.6,0.0006
08/19/2007 22,0.3,0.0003
08/19/2007 23,0,0
08/20/2007 00,0.3,0.0003
08/20/2007 01,0,0
08/20/2007 02,0.1,0.0001
08/20/2007 03,0,0
08/20/2007 04,0,0
08/20/2007 05,0.1,0.0001
08/20/2007 06,0,0
08/20/2007 07,0,0
08/20/2007 08,0.1,0.0001
08/20/2007 09,0,0
08/20/2007 10,0,0
08/20/2007 11,0,0
08/20/2007 12,0,0
08/20/2007 13,0.1,0.0001
08/20/2007 14,2.5,0.0025
08/20/2007 15,5.2,0.0052
08/20/2007 16,3.8,0.0038
08/20/2007 17,0,0
08/20/2007 18,0,0
08/20/2007 19,0.4,0.0004
08/20/2007 20,4,0.004
08/20/2007 21,8.3,0.0083
08/20/2007 22,1.9,0.0019
08/20/2007 23,1.1,0.0011
08/21/2007 00,0,0
08/21/2007 01,0,0
08/21/2007 02,0.4,0.0004
08/21/2007 03,1.2,0.0012
08/21/2007 04,1.9,0.0019
08/21/2007 05,3,0.003
08/21/2007 06,4.4,0.0044
08/21/2007 07,2.1,0.0021
08/21/2007 08,1.1,0.0011
08/21/2007 09,0.9,0.0009
08/21/2007 10,0.5,0.0005
08/21/2007 11,0.7,0.0007
08/21/2007 12,0,0
08/21/2007 13,0.1,0.0001
08/21/2007 14,0.4,0.0004
08/21/2007 15,0,0
08/21/2007 16,0,0
08/21/2007 17,0.9,0.0009
08/21/2007 18,1.1,0.0011
08/21/2007 19,0.5,0.0005
08/21/2007 20,0.1,0.0001
08/21/2007 21,0.7,0.0007
08/21/2007 22,0.5,0.0005
08/21/2007 23,0.6,0.0006
08/22/2007 00,0,0
08/22/2007 01,0,0
08/22/2007 02,0,0
08/22/2007 03,0,0
08/22/2007 04,0,0
08/22/2007 05,0,0
08/22/2007 06,0,0
08/22/2007 07,0,0
08/22/2007 08,0,0
08/22/2007 09,0,0
08/22/2007 10,0,0
08/22/2007 11,0,0
08/22/2007 12,0.1,0.0001
08/22/2007 13,0,0
08/22/2007 14,0,0
08/22/2007 15,0,0
08/22/2007 16,0,0
08/22/2007 17,0,0
08/22/2007 18,0,0
08/22/2007 19,0,0
08/22/2007 20,0,0
08/22/2007 21,0,0
08/22/2007 22,0,0
08/22/2007 23,0,0
08/23/2007 00,0,0
08/23/2007 01,0,0
08/23/2007 02,0,0
08/23/2007 03,0,0
08/23/2007 04,0,0
08/23/2007 05,0,0
08/23/2007 06,0,0
08/23/2007 07,0.1,0.0001
08/23/2007 08,0.1,0.0001
08/23/2007 09,0,0
08/23/2007 10,0,0
08/23/2007 11,0,0
08/23/2007 12,0,0
08/23/2007 13,0,0
08/23/2007 14,0,0
08/23/2007 15,0,0
08/23/2007 16,0,0
08/23/2007 17,0,0
08/23/2007 18,0.9,0.0009
08/23/2007 19,1.5,0.0015
08/23/2007 20,0.3,0.0003
08/23/2007 21,0,0
08/23/2007 22,0,0
08/23/2007 23,0,0
08/24/2007 00,0,0
08/24/2007 01,0,0
08/24/2007 02,0,0
08/24/2007 03,0,0
08/24/2007 04,0,0
08/24/2007 05,0,0
08/24/2007 06,0,0
08/24/2007 07,0,0
08/24/2007 08,0,0
08/24/2007 09,0,0
08/24/2007 10,0,0
08/24/2007 11,0,0
08/24/2007 12,0,0
08/24/2007 13,0,0
08/24/2007 14,0,0
08/24/2007 15,0,0
08/24/2007 16,0,0
08/24/2007 17,0,0
08/24/2007 18,0,0
08/24/2007 19,0,0
08/24/2007 20,0,0
08/24/2007 21,0,0
08/24/2007 22,0,0
08/24/2007 23,0,0
08/25/2007 00,0,0
08/25/2007 01,0,0
08/25/2007 02,0,0
08/25/2007 03,0,0
08/25/2007 04,0,0
08/25/2007 05,0,0
08/25/2007 06,0,0
08/25/2007 07,0,0
08/25/2007 08,0,0
08/25/2007 09,0,0
08/25/2007 10,0,0
08/25/2007 11,0,0
08/25/2007 12,0,0
08/25/2007 13,0,0
08/25/2007 14,0,0
08/25/2007 15,0,0
08/25/2007 16,0,0
08/25/2007 17,0,0
08/25/2007 18,0,0
08/25/2007 19,0,0
08/25/2007 20,0,0
08/25/2007 21,0,0
08/25/2007 22,0,0
08/25/2007 23,0,0
08/26/2007 00,0,0
08/26/2007 01,0.5,0.0005
08/26/2007 02,0,0
08/26/2007 03,0,0
08/26/2007 04,0,0
08/26/2007 05,0.1,0.0001
08/26/2007 06,0.3,0.0003
08/26/2007 07,0,0
08/26/2007 08,0,0
08/26/2007 09,0,0
08/26/2007 10,0,0
08/26/2007 11,0,0
08/26/2007 12,0,0
08/26/2007 13,0,0
08/26/2007 14,0,0
08/26/2007 15,0,0
08/26/2007 16,0,0
08/26/2007 17,0,0
08/26/2007 18,0,0
08/26/2007 19,0,0
08/26/2007 20,0,0
08/26/2007 21,0,0
08/26/2007 22,0,0
08/26/2007 23,0,0
08/27/2007 00,0,0
08/27/2007 01,0,0
08/27/2007 02,0,0
08/27/2007 03,0,0
08/27/2007 04,0,0
08/27/2007 05,0,0
08/27/2007 06,0,0
08/27/2007 07,0,0
08/27/2007 08,0,0
08/27/2007 09,0,0
08/27/2007 10,0,0
08/27/2007 11,0,0
08/27/2007 12,0,0
08/27/2007 13,0,0
08/27/2007 14,0,0
08/27/2007 15,0,0
08/27/2007 16,0,0
08/27/2007 17,0,0
08/27/2007 18,0,0
08/27/2007 19,0,0
08/27/2007 20,0,0
08/27/2007 21,0,0
08/27/2007 22,0,0
08/27/2007 23,0,0
08/28/2007 00,0,0
08/28/2007 01,0,0
08/28/2007 02,0,0
08/28/2007 03,0,0
08/28/2007 04,0,0
08/28/2007 05,0,0
08/28/2007 06,0,0
08/28/2007 07,0,0
08/28/2007 08,0,0
08/28/2007 09,0,0
08/28/2007 10,0,0
08/28/2007 11,0,0
08/28/2007 12,0,0
08/28/2007 13,0,0
08/28/2007 14,0,0
08/28/2007 15,0,0
08/28/2007 16,0,0
08/28/2007 17,0,0
08/28/2007 18,0,0
08/28/2007 19,0,0
08/28/2007 20,0,0
08/28/2007 21,0,0
08/28/2007 22,0,0
08/28/2007 23,0,0
08/29/2007 00,0,0
08/29/2007 01,0,0
08/29/2007 02,0,0
08/29/2007 03,0,0
08/29/2007 04,0,0
08/29/2007 05,0,0
08/29/2007 06,0,0
08/29/2007 07,0,0
08/29/2007 08,0,0
08/29/2007 09,0,0
08/29/2007 10,0,0
08/29/2007 11,0,0
08/29/2007 12,0,0
08/29/2007 13,0,0
08/29/2007 14,0,0
08/29/2007 15,0,0
08/29/2007 16,0,0
08/29/2007 17,0,0
08/29/2007 18,0,0
08/29/2007 19,0,0
08/29/2007 20,0,0
08/29/2007 21,0,0
08/29/2007 22,0,0
08/29/2007 23,0,0
08/30/2007 00,0,0
08/30/2007 01,0,0
08/30/2007 02,0,0
08/30/2007 03,0,0
08/30/2007 04,0,0
08/30/2007 05,0,0
08/30/2007 06,0,0
08/30/2007 07,0,0
08/30/2007 08,0,0
08/30/2007 09,0,0
08/30/2007 10,0,0
08/30/2007 11,0,0
08/30/2007 12,0,0
08/30/2007 13,0,0
08/30/2007 14,0,0
08/30/2007 15,0,0
08/30/2007 16,0,0
08/30/2007 17,0,0
08/30/2007 18,0,0
08/30/2007 19,0,0
08/30/2007 20,0,0
08/30/2007 21,0,0
08/30/2007 22,0,0
08/30/2007 23,0,0
08/31/2007 00,0,0
08/31/2007 01,0,0
08/31/2007 02,0,0
08/31/2007 03,0,0
08/31/2007 04,0,0
08/31/2007 05,0,0
08/31/2007 06,0,0
08/31/2007 07,0,0
08/31/2007 08,0,0
08/31/2007 09,0,0
08/31/2007 10,0,0
08/31/2007 11,0,0
08/31/2007 12,0,0
08/31/2007 13,0,0
08/31/2007 14,0,0
08/31/2007 15,0,0
08/31/2007 16,0,0
08/31/2007 17,0,0
08/31/2007 18,0,0
08/31/2007 19,0,0
08/31/2007 20,0,0
08/31/2007 21,0,0
08/31/2007 22,0,0
08/31/2007 23,0,0
09/01/2007 00,0,0
09/01/2007 01,0,0
09/01/2007 02,0,0
09/01/2007 03,0,0
09/01/2007 04,0,0
09/01/2007 05,0,0
09/01/2007 06,0,0
09/01/2007 07,0,0
09/01/2007 08,0,0
09/01/2007 09,0,0
09/01/2007 10,0,0
09/01/2007 11,0,0
09/01/2007 12,0,0
09/01/2007 13,0,0
09/01/2007 14,0,0
09/01/2007 15,0,0
09/01/2007 16,0,0
09/01/2007 17,0,0
09/01/2007 18,0,0
09/01/2007 19,0,0
09/01/2007 20,0,0
09/01/2007 21,0,0
09/01/2007 22,0,0
09/01/2007 23,0,0
09/02/2007 00,0,0
09/02/2007 01,0,0
09/02/2007 02,0,0
09/02/2007 03,0,0
09/02/2007 04,0,0
09/02/2007 05,0,0
09/02/2007 06,0,0
09/02/2007 07,0,0
09/02/2007 08,0,0
09/02/2007 09,0,0
09/02/2007 10,0,0
09/02/2007 11,0,0
09/02/2007 12,0,0
09/02/2007 13,0,0
09/02/2007 14,0,0
09/02/2007 15,0,0
09/02/2007 16,0,0
09/02/2007 17,0,0
09/02/2007 18,0,0
09/02/2007 19,0,0
09/02/2007 20,0,0
09/02/2007 21,0,0
09/02/2007 22,0,0
09/02/2007 23,0,0
09/03/2007 00,0,0
09/03/2007 01,0,0
09/03/2007 02,0,0
09/03/2007 03,0,0
09/03/2007 04,0,0
09/03/2007 05,0,0
09/03/2007 06,0,0
09/03/2007 07,0,0
09/03/2007 08,0,0
09/03/2007 09,0,0
09/03/2007 10,0,0
09/03/2007 11,0,0
09/03/2007 12,0,0
09/03/2007 13,0,0
09/03/2007 14,0,0
09/03/2007 15,0,0
09/03/2007 16,0,0
09/03/2007 17,0,0
09/03/2007 18,0,0
09/03/2007 19,0,0
09/03/2007 20,0,0
09/03/2007 21,0,0
09/03/2007 22,0,0
09/03/2007 23,0,0
09/04/2007 00,0,0
09/04/2007 01,0,0
09/04/2007 02,0,0
09/04/2007 03,0,0
09/04/2007 04,0,0
09/04/2007 05,0,0
09/04/2007 06,0,0
09/04/2007 07,0,0
09/04/2007 08,0,0
09/04/2007 09,0,0
09/04/2007 10,0,0
09/04/2007 11,0,0
09/04/2007 12,0,0
09/04/2007 13,0,0
09/04/2007 14,0,0
09/04/2007 15,0,0
09/04/2007 16,0,0
09/04/2007 17,0,0
09/04/2007 18,0,0
09/04/2007 19,0,0
09/04/2007 20,0,0
09/04/2007 21,0,0
09/04/2007 22,0,0
09/04/2007 23,0,0
09/05/2007 00,0,0
09/05/2007 01,0,0
09/05/2007 02,0,0
09/05/2007 03,0,0
09/05/2007 04,0,0
09/05/2007 05,0,0
09/05/2007 06,0,0
09/05/2007 07,0,0
09/05/2007 08,0,0
09/05/2007 09,0,0
09/05/2007 10,0,0
09/05/2007 11,0,0
09/05/2007 12,0,0
09/05/2007 13,0,0
09/05/2007 14,0,0
09/05/2007 15,0,0
09/05/2007 16,0,0
09/05/2007 17,0,0
09/05/2007 18,0,0
09/05/2007 19,0,0
09/05/2007 20,0,0
09/05/2007 21,0,0
09/05/2007 22,0,0
09/05/2007 23,0,0
09/06/2007 00,0,0
09/06/2007 01,0,0
09/06/2007 02,0,0
09/06/2007 03,0,0
09/06/2007 04,0,0
09/06/2007 05,0,0
09/06/2007 06,0,0
09/06/2007 07,0,0
09/06/2007 08,0,0
09/06/2007 09,0,0
09/06/2007 10,0,0
09/06/2007 11,0,0
09/06/2007 12,0,0
09/06/2007 13,0,0
09/06/2007 14,0,0
09/06/2007 15,0,0
09/06/2007 16,0,0
09/06/2007 17,0,0
09/06/2007 18,0,0
09/06/2007 19,0,0
09/06/2007 20,0,0
09/06/2007 21,0,0
09/06/2007 22,0,0
09/06/2007 23,0,0
09/07/2007 00,0,0
09/07/2007 01,0,0
09/07/2007 02,0,0
09/07/2007 03,0,0
09/07/2007 04,0,0
09/07/2007 05,0,0
09/07/2007 06,0,0
09/07/2007 07,0,0
09/07/2007 08,0,0
09/07/2007 09,0,0
09/07/2007 10,0,0
09/07/2007 11,0,0
09/07/2007 12,0,0
09/07/2007 13,0,0
09/07/2007 14,0,0
09/07/2007 15,0,0
09/07/2007 16,0,0
09/07/2007 17,0,0
09/07/2007 18,0,0
09/07/2007 19,0,0
09/07/2007 20,0,0
09/07/2007 21,0,0
09/07/2007 22,0,0
09/07/2007 23,0,0
09/08/2007 00,0,0
09/08/2007 01,0,0
09/08/2007 02,0,0
09/08/2007 03,0,0
09/08/2007 04,0,0
09/08/2007 05,0,0
09/08/2007 06,0,0
09/08/2007 07,0,0
09/08/2007 08,0,0
09/08/2007 09,0,0
09/08/2007 10,0,0
09/08/2007 11,0,0
09/08/2007 12,0,0
09/08/2007 13,0,0
09/08/2007 14,0,0
09/08/2007 15,0,0
09/08/2007 16,0,0
09/08/2007 17,0,0
09/08/2007 18,0,0
09/08/2007 19,0,0
09/08/2007 20,0,0
09/08/2007 21,0,0
09/08/2007 22,0,0
09/08/2007 23,0,0
09/09/2007 00,0,0
09/09/2007 01,0,0
09/09/2007 02,0,0
09/09/2007 03,0,0
09/09/2007 04,0,0
09/09/2007 05,0,0
09/09/2007 06,0,0
09/09/2007 07,0,0
09/09/2007 08,0,0
09/09/2007 09,0,0
09/09/2007 10,0,0
09/09/2007 11,0,0
09/09/2007 12,0,0
09/09/2007 13,0,0
09/09/2007 14,0,0
09/09/2007 15,0,0
09/09/2007 16,0,0
09/09/2007 17,0,0
09/09/2007 18,0,0
09/09/2007 19,0.4,0.0004
09/09/2007 20,0,0
09/09/2007 21,0,0
09/09/2007 22,0.5,0.0005
09/09/2007 23,0,0
09/10/2007 00,0,0
09/10/2007 01,0,0
09/10/2007 02,0,0
09/10/2007 03,0,0
09/10/2007 04,0,0
09/10/2007 05,0,0
09/10/2007 06,0,0
09/10/2007 07,0,0
09/10/2007 08,0,0
09/10/2007 09,0,0
09/10/2007 10,0,0
09/10/2007 11,0,0
09/10/2007 12,0,0
09/10/2007 13,0,0
09/10/2007 14,0,0
09/10/2007 15,0,0
09/10/2007 16,0,0
09/10/2007 17,0,0
09/10/2007 18,0,0
09/10/2007 19,0,0
09/10/2007 20,0,0
09/10/2007 21,0,0
09/10/2007 22,0,0
09/10/2007 23,0,0
09/11/2007 00,0,0
09/11/2007 01,0,0
09/11/2007 02,0,0
09/11/2007 03,0,0
09/11/2007 04,0,0
09/11/2007 05,0,0
09/11/2007 06,3.3,0.0033
09/11/2007 07,9.5,0.0095
09/11/2007 08,0.1,0.0001
09/11/2007 09,0,0
09/11/2007 10,0,0
09/11/2007 11,0.4,0.0004
09/11/2007 12,0.8,0.0008
09/11/2007 13,0.2,0.0002
09/11/2007 14,2.3,0.0023
09/11/2007 15,0.3,0.0003
09/11/2007 16,0,0
09/11/2007 17,0,0
09/11/2007 18,0,0
09/11/2007 19,0,0
09/11/2007 20,0,0
09/11/2007 21,0,0
09/11/2007 22,0,0
09/11/2007 23,0,0
09/12/2007 00,0,0
09/12/2007 01,0,0
09/12/2007 02,0,0
09/12/2007 03,0,0
09/12/2007 04,0,0
09/12/2007 05,0,0
09/12/2007 06,0,0
09/12/2007 07,0,0
09/12/2007 08,0,0
09/12/2007 09,0,0
09/12/2007 10,0,0
09/12/2007 11,0,0
09/12/2007 12,0,0
09/12/2007 13,0,0
09/12/2007 14,0,0
09/12/2007 15,0,0
09/12/2007 16,0,0
09/12/2007 17,0,0
09/12/2007 18,0,0
09/12/2007 19,0,0
09/12/2007 20,0,0
09/12/2007 21,0,0
09/12/2007 22,0,0
09/12/2007 23,0,0
09/13/2007 00,0,0
09/13/2007 01,0,0
09/13/2007 02,0,0
09/13/2007 03,0,0
09/13/2007 04,0,0
09/13/2007 05,0,0
09/13/2007 06,0,0
09/13/2007 07,0,0
09/13/2007 08,0,0
09/13/2007 09,0,0
