Collection_Timestamp,Discharge_(cmd)
01/01/2007 16:30,160.39:q=A
01/01/2007 16:40,160.39:q=A
01/01/2007 16:50,160.39:q=A
01/01/2007 17:00,160.39:q=A
01/01/2007 17:10,160.39:q=A
01/01/2007 17:20,160.39:q=A
01/01/2007 17:30,160.39:q=A
01/01/2007 17:40,160.39:q=A
01/01/2007 17:50,160.39:q=A
01/01/2007 18:00,158.91:q=A
01/01/2007 18:10,158.91:q=A
01/01/2007 18:20,158.91:q=A
01/01/2007 18:30,158.91:q=A
01/01/2007 18:40,158.91:q=A
01/01/2007 18:50,158.91:q=A
01/01/2007 19:00,158.91:q=A
01/01/2007 19:10,158.91:q=A
01/01/2007 19:20,158.91:q=A
01/01/2007 19:30,158.91:q=A
01/01/2007 19:40,158.91:q=A
01/01/2007 19:50,158.91:q=A
01/01/2007 20:00,158.91:q=A
01/01/2007 20:10,158.91:q=A
01/01/2007 20:20,158.91:q=A
01/01/2007 20:30,158.91:q=A
01/01/2007 20:40,158.91:q=A
01/01/2007 20:50,158.91:q=A
01/01/2007 21:00,158.91:q=A
01/01/2007 21:10,158.91:q=A
01/01/2007 21:20,158.91:q=A
01/01/2007 21:30,158.91:q=A
01/01/2007 21:40,158.91:q=A
01/01/2007 21:50,158.91:q=A
01/01/2007 22:00,158.91:q=A
01/01/2007 22:10,160.97:q=A
01/01/2007 22:20,163.03:q=A
01/01/2007 22:30,165.1:q=A
01/01/2007 22:40,167.16:q=A
01/01/2007 22:50,169.22:q=A
01/01/2007 23:00,171.28:q=A
01/01/2007 23:10,171.28:q=A
01/01/2007 23:20,173.34:q=A
01/01/2007 23:30,175.4:q=A
01/01/2007 23:40,177.46:q=A
01/01/2007 23:50,179.52:q=A
01/02/2007 00:00,181.58:q=A
01/02/2007 00:10,185.12:q=A
01/02/2007 00:20,187.18:q=A
01/02/2007 00:30,189.24:q=A
01/02/2007 00:40,191.31:q=A
01/02/2007 00:50,193.37:q=A
01/02/2007 01:00,195.43:q=A
01/02/2007 01:10,197.49:q=A
01/02/2007 01:20,199.55:q=A
01/02/2007 01:30,201.61:q=A
01/02/2007 01:40,203.67:q=A
01/02/2007 01:50,205.73:q=A
01/02/2007 02:00,207.79:q=A
01/02/2007 02:10,209.86:q=A
01/02/2007 02:20,211.92:q=A
01/02/2007 02:30,213.98:q=A
01/02/2007 02:40,213.98:q=A
01/02/2007 02:50,216.04:q=A
01/02/2007 03:00,218.1:q=A
01/02/2007 03:10,220.16:q=A
01/02/2007 03:20,222.22:q=A
01/02/2007 03:30,224.28:q=A
01/02/2007 03:40,226.35:q=A
01/02/2007 03:50,228.41:q=A
01/02/2007 04:00,228.41:q=A
01/02/2007 04:10,230.47:q=A
01/02/2007 04:20,228.41:q=A
01/02/2007 04:30,226.35:q=A
01/02/2007 04:40,226.35:q=A
01/02/2007 04:50,224.28:q=A
01/02/2007 05:00,222.22:q=A
01/02/2007 05:10,220.16:q=A
01/02/2007 05:20,220.16:q=A
01/02/2007 05:30,218.1:q=A
01/02/2007 05:40,216.04:q=A
01/02/2007 05:50,213.98:q=A
01/02/2007 06:00,211.92:q=A
01/02/2007 06:10,209.86:q=A
01/02/2007 06:20,207.79:q=A
01/02/2007 06:30,205.73:q=A
01/02/2007 06:40,203.67:q=A
01/02/2007 06:50,201.61:q=A
01/02/2007 07:00,199.55:q=A
01/02/2007 07:10,199.55:q=A
01/02/2007 07:20,197.49:q=A
01/02/2007 07:30,195.43:q=A
01/02/2007 07:40,193.37:q=A
01/02/2007 07:50,191.31:q=A
01/02/2007 08:00,191.31:q=A
01/02/2007 08:10,191.31:q=A
01/02/2007 08:20,191.31:q=A
01/02/2007 08:30,191.31:q=A
01/02/2007 08:40,191.31:q=A
01/02/2007 08:50,193.37:q=A
01/02/2007 09:00,193.37:q=A
01/02/2007 09:10,193.37:q=A
01/02/2007 09:20,193.37:q=A
01/02/2007 09:30,193.37:q=A
01/02/2007 09:40,193.37:q=A
01/02/2007 09:50,193.37:q=A
01/02/2007 10:00,193.37:q=A
01/02/2007 10:10,195.43:q=A
01/02/2007 10:20,195.43:q=A
01/02/2007 10:30,197.49:q=A
01/02/2007 10:40,199.55:q=A
01/02/2007 10:50,199.55:q=A
01/02/2007 11:00,201.61:q=A
01/02/2007 11:10,203.67:q=A
01/02/2007 11:20,205.73:q=A
01/02/2007 11:30,207.79:q=A
01/02/2007 11:40,209.86:q=A
01/02/2007 11:50,211.92:q=A
01/02/2007 12:00,213.98:q=A
01/02/2007 12:10,216.04:q=A
01/02/2007 12:20,218.1:q=A
01/02/2007 12:30,220.16:q=A
01/02/2007 12:40,222.22:q=A
01/02/2007 12:50,224.28:q=A
01/02/2007 13:00,226.35:q=A
01/02/2007 13:10,228.41:q=A
01/02/2007 13:20,228.41:q=A
01/02/2007 13:30,230.47:q=A
01/02/2007 13:40,232.53:q=A
01/02/2007 13:50,234.59:q=A
01/02/2007 14:00,236.65:q=A
01/02/2007 14:10,236.65:q=A
01/02/2007 14:20,236.65:q=A
01/02/2007 14:30,236.65:q=A
01/02/2007 14:40,236.65:q=A
01/02/2007 14:50,236.65:q=A
01/02/2007 15:00,236.65:q=A
01/02/2007 15:10,236.65:q=A
01/02/2007 15:20,234.59:q=A
01/02/2007 15:30,234.59:q=A
01/02/2007 15:40,234.59:q=A
01/02/2007 15:50,232.53:q=A
01/02/2007 16:00,232.53:q=A
01/02/2007 16:10,230.47:q=A
01/02/2007 16:20,228.41:q=A
01/02/2007 16:30,226.35:q=A
01/02/2007 16:40,224.28:q=A
01/02/2007 16:50,224.28:q=A
01/02/2007 17:00,222.22:q=A
01/02/2007 17:10,220.16:q=A
01/02/2007 17:20,218.1:q=A
01/02/2007 17:30,216.04:q=A
01/02/2007 17:40,213.98:q=A
01/02/2007 17:50,213.98:q=A
01/02/2007 18:00,211.92:q=A
01/02/2007 18:10,209.86:q=A
01/02/2007 18:20,207.79:q=A
01/02/2007 18:30,205.73:q=A
01/02/2007 18:40,203.67:q=A
01/02/2007 18:50,201.61:q=A
01/02/2007 19:00,199.55:q=A
01/02/2007 19:10,197.49:q=A
01/02/2007 19:20,195.43:q=A
01/02/2007 19:30,193.37:q=A
01/02/2007 19:40,191.31:q=A
01/02/2007 19:50,189.24:q=A
01/02/2007 20:00,187.18:q=A
01/02/2007 20:10,185.12:q=A
01/02/2007 20:20,183.06:q=A
01/02/2007 20:30,181:q=A
01/02/2007 20:40,178.94:q=A
01/02/2007 20:50,176.88:q=A
01/02/2007 21:00,174.82:q=A
01/02/2007 21:10,172.75:q=A
01/02/2007 21:20,170.69:q=A
01/02/2007 21:30,170.69:q=A
01/02/2007 21:40,168.63:q=A
01/02/2007 21:50,166.57:q=A
01/02/2007 22:00,166.57:q=A
01/02/2007 22:10,164.51:q=A
01/02/2007 22:20,164.51:q=A
01/02/2007 22:30,164.51:q=A
01/02/2007 22:40,164.51:q=A
01/02/2007 22:50,164.51:q=A
01/02/2007 23:00,162.45:q=A
01/02/2007 23:10,162.45:q=A
01/02/2007 23:20,162.45:q=A
01/02/2007 23:30,162.45:q=A
01/02/2007 23:40,162.45:q=A
01/02/2007 23:50,162.45:q=A
01/03/2007 00:00,160.39:q=A
01/03/2007 00:10,160.39:q=A
01/03/2007 00:20,160.39:q=A
01/03/2007 00:30,160.39:q=A
01/03/2007 00:40,160.39:q=A
01/03/2007 00:50,160.39:q=A
01/03/2007 01:00,160.39:q=A
01/03/2007 01:10,160.39:q=A
01/03/2007 01:20,160.39:q=A
01/03/2007 01:30,160.39:q=A
01/03/2007 01:40,160.39:q=A
01/03/2007 01:50,160.39:q=A
01/03/2007 02:00,160.39:q=A
01/03/2007 02:10,160.39:q=A
01/03/2007 02:20,160.39:q=A
01/03/2007 02:30,160.39:q=A
01/03/2007 02:40,160.39:q=A
01/03/2007 02:50,160.39:q=A
01/03/2007 03:00,160.39:q=A
01/03/2007 03:10,160.39:q=A
01/03/2007 03:20,160.39:q=A
01/03/2007 03:30,160.39:q=A
01/03/2007 03:40,160.39:q=A
01/03/2007 03:50,160.39:q=A
01/03/2007 04:00,160.39:q=A
01/03/2007 04:10,160.39:q=A
01/03/2007 04:20,160.39:q=A
01/03/2007 04:30,160.39:q=A
01/03/2007 04:40,160.39:q=A
01/03/2007 04:50,160.39:q=A
01/03/2007 05:00,160.39:q=A
01/03/2007 05:10,160.39:q=A
01/03/2007 05:20,160.39:q=A
01/03/2007 05:30,160.39:q=A
01/03/2007 05:40,160.39:q=A
01/03/2007 05:50,160.39:q=A
01/03/2007 06:00,160.39:q=A
01/03/2007 06:10,160.39:q=A
01/03/2007 06:20,160.39:q=A
01/03/2007 06:30,160.39:q=A
01/03/2007 06:40,160.39:q=A
01/03/2007 06:50,160.39:q=A
01/03/2007 07:00,160.39:q=A
01/03/2007 07:10,160.39:q=A
01/03/2007 07:20,160.39:q=A
01/03/2007 07:30,160.39:q=A
01/03/2007 07:40,160.39:q=A
01/03/2007 07:50,160.39:q=A
01/03/2007 08:00,160.39:q=A
01/03/2007 08:10,160.39:q=A
01/03/2007 08:20,160.39:q=A
01/03/2007 08:30,160.39:q=A
01/03/2007 08:40,160.39:q=A
01/03/2007 08:50,160.39:q=A
01/03/2007 09:00,160.39:q=A
01/03/2007 09:10,160.39:q=A
01/03/2007 09:20,160.39:q=A
01/03/2007 09:30,160.39:q=A
01/03/2007 09:40,160.39:q=A
01/03/2007 09:50,160.39:q=A
01/03/2007 10:00,160.39:q=A
01/03/2007 10:10,160.39:q=A
01/03/2007 10:20,160.39:q=A
01/03/2007 10:30,160.39:q=A
01/03/2007 10:40,160.39:q=A
01/03/2007 10:50,160.39:q=A
01/03/2007 11:00,160.39:q=A
01/03/2007 11:10,160.39:q=A
01/03/2007 11:20,160.39:q=A
01/03/2007 11:30,160.39:q=A
01/03/2007 11:40,160.39:q=A
01/03/2007 11:50,160.39:q=A
01/03/2007 12:00,160.39:q=A
01/03/2007 12:10,160.39:q=A
01/03/2007 12:20,160.39:q=A
01/03/2007 12:30,160.39:q=A
01/03/2007 12:40,160.39:q=A
01/03/2007 12:50,160.39:q=A
01/03/2007 13:00,160.39:q=A
01/03/2007 13:10,160.39:q=A
01/03/2007 13:20,160.39:q=A
01/03/2007 13:30,160.39:q=A
01/03/2007 13:40,160.39:q=A
01/03/2007 13:50,160.39:q=A
01/03/2007 14:00,160.39:q=A
01/03/2007 14:10,160.39:q=A
01/03/2007 14:20,160.39:q=A
01/03/2007 14:30,160.39:q=A
01/03/2007 14:40,160.39:q=A
01/03/2007 14:50,160.39:q=A
01/03/2007 15:00,160.39:q=A
01/03/2007 15:10,160.39:q=A
01/03/2007 15:20,160.39:q=A
01/03/2007 15:30,160.39:q=A
01/03/2007 15:40,160.39:q=A
01/03/2007 15:50,160.39:q=A
01/03/2007 16:00,160.39:q=A
01/03/2007 16:10,160.39:q=A
01/03/2007 16:20,160.39:q=A
01/03/2007 16:30,160.39:q=A
01/03/2007 16:40,160.39:q=A
01/03/2007 16:50,160.39:q=A
01/03/2007 17:00,160.39:q=A
01/03/2007 17:10,160.39:q=A
01/03/2007 17:20,160.39:q=A
01/03/2007 17:30,160.39:q=A
01/03/2007 17:40,160.39:q=A
01/03/2007 17:50,160.39:q=A
01/03/2007 18:00,160.39:q=A
01/03/2007 18:10,160.39:q=A
01/03/2007 18:20,160.39:q=A
01/03/2007 18:30,160.39:q=A
01/03/2007 18:40,160.39:q=A
01/03/2007 18:50,160.39:q=A
01/03/2007 19:00,160.39:q=A
01/03/2007 19:10,160.39:q=A
01/03/2007 19:20,160.39:q=A
01/03/2007 19:30,160.39:q=A
01/03/2007 19:40,160.39:q=A
01/03/2007 19:50,160.39:q=A
01/03/2007 20:00,160.39:q=A
01/03/2007 20:10,160.39:q=A
01/03/2007 20:20,160.39:q=A
01/03/2007 20:30,160.39:q=A
01/03/2007 20:40,160.39:q=A
01/03/2007 20:50,160.39:q=A
01/03/2007 21:00,160.39:q=A
01/03/2007 21:10,160.39:q=A
01/03/2007 21:20,160.39:q=A
01/03/2007 21:30,160.39:q=A
01/03/2007 21:40,160.39:q=A
01/03/2007 21:50,160.39:q=A
01/03/2007 22:00,160.39:q=A
01/03/2007 22:10,160.39:q=A
01/03/2007 22:20,160.39:q=A
01/03/2007 22:30,160.39:q=A
01/03/2007 22:40,160.39:q=A
01/03/2007 22:50,160.39:q=A
01/03/2007 23:00,160.39:q=A
01/03/2007 23:10,160.39:q=A
01/03/2007 23:20,160.39:q=A
01/03/2007 23:30,160.39:q=A
01/03/2007 23:40,160.39:q=A
01/03/2007 23:50,160.39:q=A
01/04/2007 00:00,160.39:q=A
01/04/2007 00:10,160.39:q=A
01/04/2007 00:20,160.39:q=A
01/04/2007 00:30,160.39:q=A
01/04/2007 00:40,160.39:q=A
01/04/2007 00:50,160.39:q=A
01/04/2007 01:00,160.39:q=A
01/04/2007 01:10,160.39:q=A
01/04/2007 01:20,160.39:q=A
01/04/2007 01:30,160.39:q=A
01/04/2007 01:40,160.39:q=A
01/04/2007 01:50,160.39:q=A
01/04/2007 02:00,160.39:q=A
01/04/2007 02:10,160.39:q=A
01/04/2007 02:20,160.39:q=A
01/04/2007 02:30,160.39:q=A
01/04/2007 02:40,160.39:q=A
01/04/2007 02:50,160.39:q=A
01/04/2007 03:00,160.39:q=A
01/04/2007 03:10,160.39:q=A
01/04/2007 03:20,160.39:q=A
01/04/2007 03:30,160.39:q=A
01/04/2007 03:40,160.39:q=A
01/04/2007 03:50,160.39:q=A
01/04/2007 04:00,160.39:q=A
01/04/2007 04:10,160.39:q=A
01/04/2007 04:20,160.39:q=A
01/04/2007 04:30,160.39:q=A
01/04/2007 04:40,160.39:q=A
01/04/2007 04:50,160.39:q=A
01/04/2007 05:00,160.39:q=A
01/04/2007 05:10,160.39:q=A
01/04/2007 05:20,160.39:q=A
01/04/2007 05:30,160.39:q=A
01/04/2007 05:40,160.39:q=A
01/04/2007 05:50,160.39:q=A
01/04/2007 06:00,160.39:q=A
01/04/2007 06:10,160.39:q=A
01/04/2007 06:20,160.39:q=A
01/04/2007 06:30,160.39:q=A
01/04/2007 06:40,160.39:q=A
01/04/2007 06:50,160.39:q=A
01/04/2007 07:00,160.39:q=A
01/04/2007 07:10,160.39:q=A
01/04/2007 07:20,160.39:q=A
01/04/2007 07:30,160.39:q=A
01/04/2007 07:40,160.39:q=A
01/04/2007 07:50,160.39:q=A
01/04/2007 08:00,160.39:q=A
01/04/2007 08:10,160.39:q=A
01/04/2007 08:20,160.39:q=A
01/04/2007 08:30,160.39:q=A
01/04/2007 08:40,160.39:q=A
01/04/2007 08:50,160.39:q=A
01/04/2007 09:00,160.39:q=A
01/04/2007 09:10,160.39:q=A
01/04/2007 09:20,160.39:q=A
01/04/2007 09:30,160.39:q=A
01/04/2007 09:40,160.39:q=A
01/04/2007 09:50,160.39:q=A
01/04/2007 10:00,160.39:q=A
01/04/2007 10:10,160.39:q=A
01/04/2007 10:20,160.39:q=A
01/04/2007 10:30,160.39:q=A
01/04/2007 10:40,160.39:q=A
01/04/2007 10:50,160.39:q=A
01/04/2007 11:00,160.39:q=A
01/04/2007 11:10,160.39:q=A
01/04/2007 11:20,160.39:q=A
01/04/2007 11:30,160.39:q=A
01/04/2007 11:40,160.39:q=A
01/04/2007 11:50,160.39:q=A
01/04/2007 12:00,160.39:q=A
01/04/2007 12:10,160.39:q=A
01/04/2007 12:20,160.39:q=A
01/04/2007 12:30,160.39:q=A
01/04/2007 12:40,160.39:q=A
01/04/2007 12:50,160.39:q=A
01/04/2007 13:00,160.39:q=A
01/04/2007 13:10,160.39:q=A
01/04/2007 13:20,160.39:q=A
01/04/2007 13:30,160.39:q=A
01/04/2007 13:40,160.39:q=A
01/04/2007 13:50,160.39:q=A
01/04/2007 14:00,160.39:q=A
01/04/2007 14:10,160.39:q=A
01/04/2007 14:20,160.39:q=A
01/04/2007 14:30,160.39:q=A
01/04/2007 14:40,160.39:q=A
01/04/2007 14:50,160.39:q=A
01/04/2007 15:00,160.39:q=A
01/04/2007 15:10,160.39:q=A
01/04/2007 15:20,160.39:q=A
01/04/2007 15:30,160.39:q=A
01/04/2007 15:40,160.39:q=A
01/04/2007 15:50,160.39:q=A
01/04/2007 16:00,160.39:q=A
01/04/2007 16:10,160.39:q=A
01/04/2007 16:20,160.39:q=A
01/04/2007 16:30,160.39:q=A
01/04/2007 16:40,160.39:q=A
01/04/2007 16:50,160.39:q=A
01/04/2007 17:00,160.39:q=A
01/04/2007 17:10,160.39:q=A
01/04/2007 17:20,160.39:q=A
01/04/2007 17:30,160.39:q=A
01/04/2007 17:40,160.39:q=A
01/04/2007 17:50,160.39:q=A
01/04/2007 18:00,160.39:q=A
01/04/2007 18:10,160.39:q=A
01/04/2007 18:20,160.39:q=A
01/04/2007 18:30,160.39:q=A
01/04/2007 18:40,160.39:q=A
01/04/2007 18:50,160.39:q=A
01/04/2007 19:00,160.39:q=A
01/04/2007 19:10,160.39:q=A
01/04/2007 19:20,160.39:q=A
01/04/2007 19:30,160.39:q=A
01/04/2007 19:40,160.39:q=A
01/04/2007 19:50,160.39:q=A
01/04/2007 20:00,160.39:q=A
01/04/2007 20:10,160.39:q=A
01/04/2007 20:20,160.39:q=A
01/04/2007 20:30,160.39:q=A
01/04/2007 20:40,160.39:q=A
01/04/2007 20:50,160.39:q=A
01/04/2007 21:00,160.39:q=A
01/04/2007 21:10,160.39:q=A
01/04/2007 21:20,160.39:q=A
01/04/2007 21:30,160.39:q=A
01/04/2007 21:40,160.39:q=A
01/04/2007 21:50,160.39:q=A
01/04/2007 22:00,160.39:q=A
01/04/2007 22:10,160.39:q=A
01/04/2007 22:20,160.39:q=A
01/04/2007 22:30,160.39:q=A
01/04/2007 22:40,160.39:q=A
01/04/2007 22:50,160.39:q=A
01/04/2007 23:00,160.39:q=A
01/04/2007 23:10,160.39:q=A
01/04/2007 23:20,160.39:q=A
01/04/2007 23:30,160.39:q=A
01/04/2007 23:40,160.39:q=A
01/04/2007 23:50,160.39:q=A
01/05/2007 00:00,160.39:q=A
01/05/2007 00:10,160.39:q=A
01/05/2007 00:20,160.39:q=A
01/05/2007 00:30,160.39:q=A
01/05/2007 00:40,160.39:q=A
01/05/2007 00:50,160.39:q=A
01/05/2007 01:00,160.39:q=A
01/05/2007 01:10,160.39:q=A
01/05/2007 01:20,160.39:q=A
01/05/2007 01:30,160.39:q=A
01/05/2007 01:40,160.39:q=A
01/05/2007 01:50,160.39:q=A
01/05/2007 02:00,160.39:q=A
01/05/2007 02:10,160.39:q=A
01/05/2007 02:20,160.39:q=A
01/05/2007 02:30,160.39:q=A
01/05/2007 02:40,160.39:q=A
01/05/2007 02:50,160.39:q=A
01/05/2007 03:00,160.39:q=A
01/05/2007 03:10,160.39:q=A
01/05/2007 03:20,160.39:q=A
01/05/2007 03:30,160.39:q=A
01/05/2007 03:40,160.39:q=A
01/05/2007 03:50,160.39:q=A
01/05/2007 04:00,160.39:q=A
01/05/2007 04:10,160.39:q=A
01/05/2007 04:20,160.39:q=A
01/05/2007 04:30,160.39:q=A
01/05/2007 04:40,160.39:q=A
01/05/2007 04:50,160.39:q=A
01/05/2007 05:00,160.39:q=A
01/05/2007 05:10,160.39:q=A
01/05/2007 05:20,160.39:q=A
01/05/2007 05:30,160.39:q=A
01/05/2007 05:40,160.39:q=A
01/05/2007 05:50,160.39:q=A
01/05/2007 06:00,160.39:q=A
01/05/2007 06:10,160.39:q=A
01/05/2007 06:20,160.39:q=A
01/05/2007 06:30,160.39:q=A
01/05/2007 06:40,160.39:q=A
01/05/2007 06:50,160.39:q=A
01/05/2007 07:00,160.39:q=A
01/05/2007 07:10,160.39:q=A
01/05/2007 07:20,160.39:q=A
01/05/2007 07:30,160.39:q=A
01/05/2007 07:40,160.39:q=A
01/05/2007 07:50,162.45:q=A
01/05/2007 08:00,164.51:q=A
01/05/2007 08:10,166.57:q=A
01/05/2007 08:20,168.63:q=A
01/05/2007 08:30,170.69:q=A
01/05/2007 08:40,172.75:q=A
01/05/2007 08:50,174.82:q=A
01/05/2007 09:00,176.88:q=A
01/05/2007 09:10,178.94:q=A
01/05/2007 09:20,181:q=A
01/05/2007 09:30,183.06:q=A
01/05/2007 09:40,185.12:q=A
01/05/2007 09:50,187.18:q=A
01/05/2007 10:00,189.24:q=A
01/05/2007 10:10,191.31:q=A
01/05/2007 10:20,193.37:q=A
01/05/2007 10:30,195.43:q=A
01/05/2007 10:40,197.49:q=A
01/05/2007 10:50,199.55:q=A
01/05/2007 11:00,201.61:q=A
01/05/2007 11:10,203.67:q=A
01/05/2007 11:20,205.73:q=A
01/05/2007 11:30,207.79:q=A
01/05/2007 11:40,209.86:q=A
01/05/2007 11:50,211.92:q=A
01/05/2007 12:00,213.98:q=A
01/05/2007 12:10,216.04:q=A
01/05/2007 12:20,218.1:q=A
01/05/2007 12:30,220.16:q=A
01/05/2007 12:40,220.16:q=A
01/05/2007 12:50,220.16:q=A
01/05/2007 13:00,220.16:q=A
01/05/2007 13:10,220.16:q=A
01/05/2007 13:20,220.16:q=A
01/05/2007 13:30,220.16:q=A
01/05/2007 13:40,220.16:q=A
01/05/2007 13:50,220.16:q=A
01/05/2007 14:00,218.1:q=A
01/05/2007 14:10,216.04:q=A
01/05/2007 14:20,213.98:q=A
01/05/2007 14:30,211.92:q=A
01/05/2007 14:40,209.86:q=A
01/05/2007 14:50,207.79:q=A
01/05/2007 15:00,205.73:q=A
01/05/2007 15:10,203.67:q=A
01/05/2007 15:20,201.61:q=A
01/05/2007 15:30,199.55:q=A
01/05/2007 15:40,197.49:q=A
01/05/2007 15:50,195.43:q=A
01/05/2007 16:00,193.37:q=A
01/05/2007 16:10,191.31:q=A
01/05/2007 16:20,189.24:q=A
01/05/2007 16:30,187.18:q=A
01/05/2007 16:40,185.12:q=A
01/05/2007 16:50,183.06:q=A
01/05/2007 17:00,181:q=A
01/05/2007 17:10,178.94:q=A
01/05/2007 17:20,176.88:q=A
01/05/2007 17:30,174.82:q=A
01/05/2007 17:40,172.75:q=A
01/05/2007 17:50,170.69:q=A
01/05/2007 18:00,168.63:q=A
01/05/2007 18:10,166.57:q=A
01/05/2007 18:20,164.51:q=A
01/05/2007 18:30,162.45:q=A
01/05/2007 18:40,160.39:q=A
01/05/2007 18:50,160.39:q=A
01/05/2007 19:00,160.39:q=A
01/05/2007 19:10,160.39:q=A
01/05/2007 19:20,160.39:q=A
01/05/2007 19:30,160.39:q=A
01/05/2007 19:40,160.39:q=A
01/05/2007 19:50,160.39:q=A
01/05/2007 20:00,160.39:q=A
01/05/2007 20:10,160.39:q=A
01/05/2007 20:20,160.39:q=A
01/05/2007 20:30,162.45:q=A
01/05/2007 20:40,164.51:q=A
01/05/2007 20:50,166.57:q=A
01/05/2007 21:00,168.63:q=A
01/05/2007 21:10,170.69:q=A
01/05/2007 21:20,172.75:q=A
01/05/2007 21:30,174.82:q=A
01/05/2007 21:40,176.88:q=A
01/05/2007 21:50,178.94:q=A
01/05/2007 22:00,181:q=A
01/05/2007 22:10,183.06:q=A
01/05/2007 22:20,187.87:q=A
01/05/2007 22:30,192.69:q=A
01/05/2007 22:40,197.5:q=A
01/05/2007 22:50,202.31:q=A
01/05/2007 23:00,207.13:q=A
01/05/2007 23:10,211.94:q=A
01/05/2007 23:20,216.75:q=A
01/05/2007 23:30,221.56:q=A
01/05/2007 23:40,226.38:q=A
01/05/2007 23:50,231.19:q=A
01/06/2007 00:00,236:q=A
01/06/2007 00:10,240.82:q=A
01/06/2007 00:20,245.63:q=A
01/06/2007 00:30,250.44:q=A
01/06/2007 00:40,252.5:q=A
01/06/2007 00:50,257.32:q=A
01/06/2007 01:00,262.13:q=A
01/06/2007 01:10,266.94:q=A
01/06/2007 01:20,271.76:q=A
01/06/2007 01:30,276.57:q=A
01/06/2007 01:40,281.38:q=A
01/06/2007 01:50,286.19:q=A
01/06/2007 02:00,291.01:q=A
01/06/2007 02:10,295.82:q=A
01/06/2007 02:20,300.63:q=A
